Changes_from_v4_x.x_Update_to_v4.0.0,New_Row_Number,File_Segment_Number,File_Segment_Name,System_Data_Element_Number,Data_Element_Number,Data_Element_Name_Computing,Pipe_Separated_Value_Segment_Data_Element_Order,Size,Fixed_Length_Field_Start_Position,Fixed_Length_Field_Stop_Position,Notes-Changesfromv4.x.xUpdatetov4.0.0,file_name
NONE,990,ELG00003,VARIABLE-DEMOGRAPHICS-ELIGIBILITY,ELG.003.058,ELG058,VARIABLE-DEMOGRAPHIC-ELEMENT-END-DATE,24,9(8),159,166,,ELIGIBLE
NONE,991,ELG00003,VARIABLE-DEMOGRAPHICS-ELIGIBILITY,ELG.003.269,ELG269,ELIGIBLE-FEDERAL-POVERTY-LEVEL-PERCENTAGE,25,9(3),167,169,,ELIGIBLE
NONE,992,ELG00003,VARIABLE-DEMOGRAPHICS-ELIGIBILITY,ELG.003.273,ELG273,APPLICATION-SIGNATURE-DATE,26,9(8),170,177,,ELIGIBLE
NONE,993,ELG00003,VARIABLE-DEMOGRAPHICS-ELIGIBILITY,ELG.003.059,ELG059,STATE-NOTATION,27,X(500),178,677,,ELIGIBLE
NONE,994,ELG00003,VARIABLE-DEMOGRAPHICS-ELIGIBILITY,ELG.003.060,ELG060,FILLER,28,X(323),678,1000,,ELIGIBLE
NONE,995,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.061,ELG061,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,996,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.062,ELG062,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,997,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.063,ELG063,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,998,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.064,ELG064,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,999,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.065,ELG065,ELIGIBLE-ADDR-TYPE,5,X(2),42,43,,ELIGIBLE
NONE,1000,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.066,ELG066,ELIGIBLE-ADDR-LN1,6,X(60),44,103,,ELIGIBLE
NONE,1001,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.067,ELG067,ELIGIBLE-ADDR-LN2,7,X(60),104,163,,ELIGIBLE
NONE,1002,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.068,ELG068,ELIGIBLE-ADDR-LN3,8,X(60),164,223,,ELIGIBLE
NONE,1003,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.069,ELG069,ELIGIBLE-CITY,9,X(28),224,251,,ELIGIBLE
NONE,1004,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.070,ELG070,ELIGIBLE-STATE,10,X(2),252,253,,ELIGIBLE
NONE,1005,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.071,ELG071,ELIGIBLE-ZIP-CODE,11,X(9),254,262,,ELIGIBLE
NONE,1006,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.072,ELG072,ELIGIBLE-COUNTY-CODE,12,X(3),263,265,,ELIGIBLE
NONE,1007,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.073,ELG073,ELIGIBLE-PHONE-NUM,13,X(10),266,275,,ELIGIBLE
NONE,1008,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.074,ELG074,TYPE-OF-LIVING-ARRANGEMENT,14,X(100),276,375,,ELIGIBLE
NONE,1009,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.075,ELG075,ELIGIBLE-ADDR-EFF-DATE,15,9(8),376,383,,ELIGIBLE
NONE,1010,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.076,ELG076,ELIGIBLE-ADDR-END-DATE,16,9(8),384,391,,ELIGIBLE
NONE,1011,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.077,ELG077,STATE-NOTATION,17,X(500),392,891,,ELIGIBLE
NONE,1012,ELG00004,ELIGIBLE-CONTACT-INFORMATION,ELG.004.078,ELG078,FILLER,18,X(109),892,1000,,ELIGIBLE
NONE,1013,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.079,ELG079,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1014,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.080,ELG080,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1015,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.081,ELG081,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1016,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.082,ELG082,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1017,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.083,ELG083,MSIS-CASE-NUM,5,X(12),42,53,,ELIGIBLE
NONE,1018,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.085,ELG085,DUAL-ELIGIBLE-CODE,6,X(2),54,55,,ELIGIBLE
NONE,1019,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.086,ELG086,PRIMARY-ELIGIBILITY-GROUP-IND,7,X(1),56,56,,ELIGIBLE
NONE,1020,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.087,ELG087,ELIGIBILITY-GROUP,8,X(2),57,58,,ELIGIBLE
NONE,1021,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.088,ELG088,LEVEL-OF-CARE-STATUS,9,X(3),59,61,,ELIGIBLE
NONE,1022,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.089,ELG089,SSDI-IND,10,X(1),62,62,,ELIGIBLE
NONE,1023,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.090,ELG090,SSI-IND,11,X(1),63,63,,ELIGIBLE
NONE,1024,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.091,ELG091,SSI-STATE-SUPPLEMENT-STATUS-CODE,12,X(3),64,66,,ELIGIBLE
NONE,1025,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.092,ELG092,SSI-STATUS,13,X(3),67,69,,ELIGIBLE
NONE,1026,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.093,ELG093,STATE-SPEC-ELIG-GROUP,14,X(6),70,75,,ELIGIBLE
NONE,1027,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.094,ELG094,CONCEPTION-TO-BIRTH-IND,15,X(1),76,76,,ELIGIBLE
NONE,1028,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.095,ELG095,ELIGIBILITY-TERMINATION-REASON,16,X(2),77,78,,ELIGIBLE
NONE,1029,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.097,ELG097,RESTRICTED-BENEFITS-CODE,17,X(1),79,79,,ELIGIBLE
NONE,1030,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.098,ELG098,TANF-CASH-CODE,18,X(1),80,80,,ELIGIBLE
NONE,1031,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.099,ELG099,ELIGIBILITY-DETERMINANT-EFF-DATE,19,9(8),81,88,,ELIGIBLE
NONE,1032,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.100,ELG100,ELIGIBILITY-DETERMINANT-END-DATE,20,9(8),89,96,,ELIGIBLE
NONE,1033,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.274,ELG274,ELIGIBILITY-REDETERMINTATION-DATE,21,9(8),97,104,,ELIGIBLE
NONE,1034,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.275,ELG275,ELIGIBILITY-EXTENSION-CODE,22,X(3),105,107,,ELIGIBLE
NONE,1035,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.276,ELG276,ELIGIBILITY-EXTENSION-OTHER-TEXT ,23,X(50),108,157,,ELIGIBLE
NONE,1036,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.277,ELG277,CONTINUOUS-ELIGIBILITY-CODE,24,X(3),158,160,,ELIGIBLE
NONE,1037,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.278,ELG278,CONTINUOUS-ELIGIBILITY-OTHER-TEXT,25,X(50),161,210,,ELIGIBLE
NONE,1038,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.279,ELG279,INCOME-STANDARD-CODE,26,X(2),211,212,,ELIGIBLE
NONE,1039,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.280,ELG280,INCOME-STANDARD-OTHER-TEXT,27,X(50),213,262,,ELIGIBLE
NONE,1040,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.281,ELG281,ELIGIBILITY-TERMINATION-REASON-OTHER-TYPE-TEXT,28,X(100),263,362,,ELIGIBLE
NONE,1041,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.101,ELG101,STATE-NOTATION,29,X(500),363,862,,ELIGIBLE
NONE,1042,ELG00005,ELIGIBILITY-DETERMINANTS,ELG.005.102,ELG102,FILLER,30,X(138),863,1000,,ELIGIBLE
NONE,1043,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.103,ELG103,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1044,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.104,ELG104,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1045,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.105,ELG105,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1046,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.106,ELG106,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1047,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.107,ELG107,HEALTH-HOME-SPA-NAME,5,X(100),42,141,,ELIGIBLE
NONE,1048,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.108,ELG108,HEALTH-HOME-ENTITY-NAME,6,X(100),142,241,,ELIGIBLE
NONE,1049,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.109,ELG109,HEALTH-HOME-SPA-PARTICIPATION-EFF-DATE,7,9(8),242,249,,ELIGIBLE
NONE,1050,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.110,ELG110,HEALTH-HOME-SPA-PARTICIPATION-END-DATE,8,9(8),250,257,,ELIGIBLE
NONE,1051,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.111,ELG111,HEALTH-HOME-ENTITY-EFF-DATE,9,9(8),258,265,,ELIGIBLE
NONE,1052,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.112,ELG112,STATE-NOTATION,10,X(500),266,765,,ELIGIBLE
NONE,1053,ELG00006,HEALTH-HOME-SPA-PARTICIPATION-INFORMATION,ELG.006.113,ELG113,FILLER,11,X(235),766,1000,,ELIGIBLE
NONE,1054,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.114,ELG114,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1055,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.115,ELG115,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1056,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.116,ELG116,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1057,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.117,ELG117,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1058,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.118,ELG118,HEALTH-HOME-SPA-NAME,5,X(100),42,141,,ELIGIBLE
NONE,1059,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.119,ELG119,HEALTH-HOME-ENTITY-NAME,6,X(100),142,241,,ELIGIBLE
NONE,1060,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.120,ELG120,HEALTH-HOME-PROV-NUM,7,X(30),242,271,,ELIGIBLE
NONE,1061,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.121,ELG121,HEALTH-HOME-SPA-PROVIDER-EFF-DATE,8,9(8),272,279,,ELIGIBLE
NONE,1062,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.122,ELG122,HEALTH-HOME-SPA-PROVIDER-END-DATE,9,9(8),280,287,,ELIGIBLE
NONE,1063,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.123,ELG123,HEALTH-HOME-ENTITY-EFF-DATE,10,9(8),288,295,,ELIGIBLE
NONE,1064,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.124,ELG124,STATE-NOTATION,11,X(500),296,795,,ELIGIBLE
NONE,1065,ELG00007,HEALTH-HOME-SPA-PROVIDERS,ELG.007.125,ELG125,FILLER,12,X(205),796,1000,,ELIGIBLE
NONE,1066,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.126,ELG126,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1067,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.127,ELG127,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1068,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.128,ELG128,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1069,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.129,ELG129,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1070,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.130,ELG130,HEALTH-HOME-CHRONIC-CONDITION,5,X(1),42,42,,ELIGIBLE
NONE,1071,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.131,ELG131,HEALTH-HOME-CHRONIC-CONDITION-OTHER-EXPLANATION,6,X(50),43,92,,ELIGIBLE
NONE,1072,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.132,ELG132,HEALTH-HOME-CHRONIC-CONDITION-EFF-DATE,7,9(8),93,100,,ELIGIBLE
NONE,1073,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.133,ELG133,HEALTH-HOME-CHRONIC-CONDITION-END-DATE,8,9(8),101,108,,ELIGIBLE
NONE,1074,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.134,ELG134,STATE-NOTATION,9,X(500),109,608,,ELIGIBLE
NONE,1075,ELG00008,HEALTH-HOME-CHRONIC-CONDITIONS,ELG.008.135,ELG135,FILLER,10,X(392),609,1000,,ELIGIBLE
NONE,1076,ELG00009,LOCK-IN-INFORMATION,ELG.009.136,ELG136,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1077,ELG00009,LOCK-IN-INFORMATION,ELG.009.137,ELG137,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1078,ELG00009,LOCK-IN-INFORMATION,ELG.009.138,ELG138,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1079,ELG00009,LOCK-IN-INFORMATION,ELG.009.139,ELG139,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1080,ELG00009,LOCK-IN-INFORMATION,ELG.009.140,ELG140,LOCKIN-PROV-NUM,5,X(30),42,71,,ELIGIBLE
NONE,1081,ELG00009,LOCK-IN-INFORMATION,ELG.009.141,ELG141,LOCKIN-PROV-TYPE,6,X(2),72,73,,ELIGIBLE
NONE,1082,ELG00009,LOCK-IN-INFORMATION,ELG.009.142,ELG142,LOCKIN-EFF-DATE,7,9(8),74,81,,ELIGIBLE
NONE,1083,ELG00009,LOCK-IN-INFORMATION,ELG.009.143,ELG143,LOCKIN-END-DATE,8,9(8),82,89,,ELIGIBLE
NONE,1084,ELG00009,LOCK-IN-INFORMATION,ELG.009.270,ELG270,LOCKED-IN-SRVCS,9,X(3),90,92,,ELIGIBLE
NONE,1085,ELG00009,LOCK-IN-INFORMATION,ELG.009.144,ELG144,STATE-NOTATION,10,X(500),93,592,,ELIGIBLE
NONE,1086,ELG00009,LOCK-IN-INFORMATION,ELG.009.145,ELG145,FILLER,11,X(408),593,1000,,ELIGIBLE
NONE,1087,ELG00010,MFP-INFORMATION,ELG.010.146,ELG146,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1088,ELG00010,MFP-INFORMATION,ELG.010.147,ELG147,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1089,ELG00010,MFP-INFORMATION,ELG.010.148,ELG148,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1090,ELG00010,MFP-INFORMATION,ELG.010.149,ELG149,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1091,ELG00010,MFP-INFORMATION,ELG.010.150,ELG150,MFP-LIVES-WITH-FAMILY,5,X(1),42,42,,ELIGIBLE
NONE,1092,ELG00010,MFP-INFORMATION,ELG.010.151,ELG151,MFP-QUALIFIED-INSTITUTION,6,X(2),43,44,,ELIGIBLE
NONE,1093,ELG00010,MFP-INFORMATION,ELG.010.152,ELG152,MFP-QUALIFIED-RESIDENCE,7,X(2),45,46,,ELIGIBLE
NONE,1094,ELG00010,MFP-INFORMATION,ELG.010.153,ELG153,MFP-REASON-PARTICIPATION-ENDED,8,X(2),47,48,,ELIGIBLE
NONE,1095,ELG00010,MFP-INFORMATION,ELG.010.154,ELG154,MFP-REINSTITUTIONALIZED-REASON,9,X(2),49,50,,ELIGIBLE
NONE,1096,ELG00010,MFP-INFORMATION,ELG.010.155,ELG155,MFP-ENROLLMENT-EFF-DATE,10,9(8),51,58,,ELIGIBLE
NONE,1097,ELG00010,MFP-INFORMATION,ELG.010.156,ELG156,MFP-ENROLLMENT-END-DATE,11,9(8),59,66,,ELIGIBLE
NONE,1098,ELG00010,MFP-INFORMATION,ELG.010.157,ELG157,STATE-NOTATION,12,X(500),67,566,,ELIGIBLE
NONE,1099,ELG00010,MFP-INFORMATION,ELG.010.158,ELG158,FILLER,13,X(434),567,1000,,ELIGIBLE
NONE,1100,ELG00011,STATE-PLAN-OPTION-PARTICIPATION,ELG.011.159,ELG159,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1101,ELG00011,STATE-PLAN-OPTION-PARTICIPATION,ELG.011.160,ELG160,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1102,ELG00011,STATE-PLAN-OPTION-PARTICIPATION,ELG.011.161,ELG161,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1103,ELG00011,STATE-PLAN-OPTION-PARTICIPATION,ELG.011.162,ELG162,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1104,ELG00011,STATE-PLAN-OPTION-PARTICIPATION,ELG.011.163,ELG163,STATE-PLAN-OPTION-TYPE,5,X(2),42,43,,ELIGIBLE
NONE,1105,ELG00011,STATE-PLAN-OPTION-PARTICIPATION,ELG.011.164,ELG164,STATE-PLAN-OPTION-EFF-DATE,6,9(8),44,51,,ELIGIBLE
NONE,1106,ELG00011,STATE-PLAN-OPTION-PARTICIPATION,ELG.011.165,ELG165,STATE-PLAN-OPTION-END-DATE,7,9(8),52,59,,ELIGIBLE
NONE,1107,ELG00011,STATE-PLAN-OPTION-PARTICIPATION,ELG.011.166,ELG166,STATE-NOTATION,8,X(500),60,559,,ELIGIBLE
NONE,1108,ELG00011,STATE-PLAN-OPTION-PARTICIPATION,ELG.011.167,ELG167,FILLER,9,X(441),560,1000,,ELIGIBLE
NONE,1109,ELG00012,WAIVER-PARTICIPATION,ELG.012.168,ELG168,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1110,ELG00012,WAIVER-PARTICIPATION,ELG.012.169,ELG169,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1111,ELG00012,WAIVER-PARTICIPATION,ELG.012.170,ELG170,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1112,ELG00012,WAIVER-PARTICIPATION,ELG.012.171,ELG171,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1113,ELG00012,WAIVER-PARTICIPATION,ELG.012.172,ELG172,WAIVER-ID,5,X(20),42,61,,ELIGIBLE
NONE,1114,ELG00012,WAIVER-PARTICIPATION,ELG.012.173,ELG173,WAIVER-TYPE,6,X(2),62,63,,ELIGIBLE
NONE,1115,ELG00012,WAIVER-PARTICIPATION,ELG.012.174,ELG174,WAIVER-ENROLLMENT-EFF-DATE,7,9(8),64,71,,ELIGIBLE
NONE,1116,ELG00012,WAIVER-PARTICIPATION,ELG.012.175,ELG175,WAIVER-ENROLLMENT-END-DATE,8,9(8),72,79,,ELIGIBLE
NONE,1117,ELG00012,WAIVER-PARTICIPATION,ELG.012.176,ELG176,STATE-NOTATION,9,X(500),80,579,,ELIGIBLE
NONE,1118,ELG00012,WAIVER-PARTICIPATION,ELG.012.177,ELG177,FILLER,10,X(421),580,1000,,ELIGIBLE
NONE,1119,ELG00013,LTSS-PARTICIPATION,ELG.013.178,ELG178,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1120,ELG00013,LTSS-PARTICIPATION,ELG.013.179,ELG179,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1121,ELG00013,LTSS-PARTICIPATION,ELG.013.180,ELG180,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1122,ELG00013,LTSS-PARTICIPATION,ELG.013.181,ELG181,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1123,ELG00013,LTSS-PARTICIPATION,ELG.013.182,ELG182,LTSS-LEVEL-CARE,5,X(1),42,42,,ELIGIBLE
NONE,1124,ELG00013,LTSS-PARTICIPATION,ELG.013.183,ELG183,LTSS-PROV-NUM,6,X(30),43,72,,ELIGIBLE
NONE,1125,ELG00013,LTSS-PARTICIPATION,ELG.013.184,ELG184,LTSS-ELIGIBILITY-EFF-DATE,7,9(8),73,80,,ELIGIBLE
NONE,1126,ELG00013,LTSS-PARTICIPATION,ELG.013.185,ELG185,LTSS-ELIGIBILITY-END-DATE,8,9(8),81,88,,ELIGIBLE
NONE,1127,ELG00013,LTSS-PARTICIPATION,ELG.013.186,ELG186,STATE-NOTATION,9,X(500),89,588,,ELIGIBLE
NONE,1128,ELG00013,LTSS-PARTICIPATION,ELG.013.187,ELG187,FILLER,10,X(412),589,1000,,ELIGIBLE
NONE,1129,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.188,ELG188,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1130,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.189,ELG189,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1131,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.190,ELG190,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1132,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.191,ELG191,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1133,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.192,ELG192,MANAGED-CARE-PLAN-ID,5,X(12),42,53,,ELIGIBLE
NONE,1134,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.193,ELG193,MANAGED-CARE-PLAN-TYPE,6,X(2),54,55,,ELIGIBLE
NONE,1135,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.196,ELG196,MANAGED-CARE-PLAN-ENROLLMENT-EFF-DATE,7,9(8),56,63,,ELIGIBLE
NONE,1136,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.197,ELG197,MANAGED-CARE-PLAN-ENROLLMENT-END-DATE,8,9(8),64,71,,ELIGIBLE
NONE,1137,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.198,ELG198,STATE-NOTATION,9,X(500),72,571,,ELIGIBLE
NONE,1138,ELG00014,MANAGED-CARE-PARTICIPATION,ELG.014.199,ELG199,FILLER,10,X(429),572,1000,,ELIGIBLE
NONE,1139,ELG00015,ETHNICITY-INFORMATION,ELG.015.200,ELG200,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1140,ELG00015,ETHNICITY-INFORMATION,ELG.015.201,ELG201,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1141,ELG00015,ETHNICITY-INFORMATION,ELG.015.202,ELG202,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1142,ELG00015,ETHNICITY-INFORMATION,ELG.015.203,ELG203,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1143,ELG00015,ETHNICITY-INFORMATION,ELG.015.204,ELG204,ETHNICITY-CODE,5,X(1),42,42,,ELIGIBLE
NONE,1144,ELG00015,ETHNICITY-INFORMATION,ELG.015.205,ELG205,ETHNICITY-DECLARATION-EFF-DATE,6,9(8),43,50,,ELIGIBLE
NONE,1145,ELG00015,ETHNICITY-INFORMATION,ELG.015.206,ELG206,ETHNICITY-DECLARATION-END-DATE,7,9(8),51,58,,ELIGIBLE
NONE,1146,ELG00015,ETHNICITY-INFORMATION,ELG.015.271,ELG271,ETHNICITY-OTHER,8,X(25),59,83,,ELIGIBLE
NONE,1147,ELG00015,ETHNICITY-INFORMATION,ELG.015.207,ELG207,STATE-NOTATION,9,X(500),84,583,,ELIGIBLE
NONE,1148,ELG00015,ETHNICITY-INFORMATION,ELG.015.208,ELG208,FILLER,10,X(417),584,1000,,ELIGIBLE
NONE,1149,ELG00016,RACE-INFORMATION,ELG.016.209,ELG209,RECORD-ID,1,X(8),1,8,,ELIGIBLE
NONE,1150,ELG00016,RACE-INFORMATION,ELG.016.210,ELG210,SUBMITTING-STATE,2,X(2),9,10,,ELIGIBLE
NONE,1151,ELG00016,RACE-INFORMATION,ELG.016.211,ELG211,RECORD-NUMBER,3,9(11),11,21,,ELIGIBLE
NONE,1152,ELG00016,RACE-INFORMATION,ELG.016.212,ELG212,MSIS-IDENTIFICATION-NUM,4,X(20),22,41,,ELIGIBLE
NONE,1153,ELG00016,RACE-INFORMATION,ELG.016.213,ELG213,RACE,5,X(3),42,44,,ELIGIBLE
NONE,1154,ELG00016,RACE-INFORMATION,ELG.016.214,ELG214,RACE-OTHER,6,X(25),45,69,,ELIGIBLE
NONE,1155,ELG00016,RACE-INFORMATION,ELG.016.215,ELG215,AMERICAN-INDIAN-ALASKA-NATIVE-INDICATOR,7,X(1),70,70,,ELIGIBLE
NONE,1156,ELG00016,RACE-INFORMATION,ELG.016.216,ELG216,RACE-DECLARATION-EFF-DATE,8,9(8),71,78,,ELIGIBLE
NONE,1157,ELG00016,RACE-INFORMATION,ELG.016.217,ELG217,RACE-DECLARATION-END-DATE,9,9(8),79,86,,ELIGIBLE
NONE,1158,ELG00016,RACE-INFORMATION,ELG.016.218,ELG218,STATE-NOTATION,10,X(500),87,586,,ELIGIBLE
NONE,1159,ELG00016,RACE-INFORMATION,ELG.016.219,ELG219,FILLER,11,X(414),587,1000,,ELIGIBLE
NONE,1160,ELG00017,DISABILITY-INFORMATION,ELG.017.220,ELG220,RECORD-ID,1,X(8),1,8,,ELIGIBLE
